ANT1	97.23	121.56	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	97.06	125.37	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	69.09	108.14	90.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	92.38	122.51	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	90.72	123.16	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	89.32	126.76	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	88.50	127.71	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	82.69	128.81	90.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C15	85.84	127.41	90.00	1.0uF	NORDIC_NRF_3_RESC0201_L
C16	86.76	127.31	90.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	77.91	125.51	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	77.86	123.71	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	69.07	120.26	270.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	97.01	124.31	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	75.03	108.64	90.00	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	80.49	118.51	270.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C21	83.54	116.51	270.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C22	93.12	120.01	270.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	87.85	133.53	270.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C24	86.61	133.11	270.00	10uF	NORDIC_NRF_3_RESC0201_L
C25	93.26	127.61	270.00	22uF	NORDIC_NRF_3_RESC0201_L
C27	70.15	127.27	180.00	0.1uF	GRM011R60J152KE01L_1_0201
C29	90.07	104.41	180.00	1uF	GRM011R60J152KE01L_1_0201
C3	91.24	120.11	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	68.13	104.41	180.00	1uF	GRM011R60J152KE01L_1_0201
C31	79.19	104.41	180.00	1uF	GRM011R60J152KE01L_1_0201
C32	61.05	129.13	180.00	1uF	GRM011R60J152KE01L_1_0201
C33	94.11	127.61	270.00	22uF	NORDIC_NRF_3_RESC0201_L
C34	63.41	127.03	180.00	0.1uF	GRM011R60J152KE01L_1_0201
C37	71.47	132.03	180.00	1uF	GRM011R60J152KE01L_1_0201
C38	66.73	132.13	180.00	1uF	GRM011R60J152KE01L_1_0201
C39	65.06	132.81	270.00	10uF	NORDIC_NRF_3_RESC0201_L
C4	92.26	119.96	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	69.09	124.63	180.00	0.1uF	GRM011R60J152KE01L_1_0201
C43	69.85	124.63	180.00	4.7uF	GRM011R60J152KE01L_1_0201
C5	81.37	125.86	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	79.54	118.01	270.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C7	85.32	116.56	270.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	88.97	117.06	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	91.62	118.86	90.00	820pF	NORDIC_NRF_3_RESC0201_L
D2	78.56	111.32	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	74.82	124.92	0.00	ESP32_C6_LIBRARY_3_USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	78.50	114.72	180.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	78.58	107.92	180.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	66.97	121.90	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C10	66.97	113.00	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C11	66.96	112.26	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C12	66.92	111.50	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C2	66.98	122.66	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C5	66.95	116.86	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C6	67.09	115.96	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C7	67.06	115.20	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C8	67.01	114.46	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C9	67.02	113.76	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
IC1	68.72	132.24	0.00	BQ25180YBGR_BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	63.48	129.34	0.00	DRV2605YZFR_DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3	77.25	119.36	270.50	BMA423_BMA423	BMA423_BMA423
IC9	91.37	131.14	90.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
